doc_id,start_pos,end_pos,surface,gt_id,type,identifier,title,answer,score
hidden_test_de_1_sent6,571,580,Schamanek,NIL,PER,Q11721012,Jarosław Szymanek,,23.70965576171875
hidden_test_de_1_sent6,627,631,Thun,Q79181,PER,Q79119,Franz von Thun und Hohenstein,"```json {""wikipedia_page"": ""Franz von Thun und Hohenstein"", ""wikidata_id"": ""Q79119""} ```",17.691675186157227
hidden_test_de_1_sent6,664,668,Prag,Q1085,LOC,Q1085,Prag,,24.230558395385742
hidden_test_de_1_sent6,683,687,Thun,Q79181,PER,NIL,Thun,no.,0
hidden_test_de_1_sent6,807,816,Kramarsch,NIL,PER,NIL,Kramarsch,no,0
hidden_test_de_1_sent6,922,926,Thun,Q79181,PER,Q79119,Franz von Thun und Hohenstein,"```json {""wikipedia_page"":""Franz von Thun und Hohenstein"", ""wikidata_id"":""Q79119""} ```",17.720199584960938
hidden_test_de_1_sent6,1166,1170,Thun,Q79181,PER,Q79119,Franz von Thun und Hohenstein,"```json {""wikipedia_page"":""Franz von Thun und Hohenstein"", ""wikidata_id"":""Q79119""} ```",16.203718185424805
hidden_test_de_1_sent8,19,26,Klausen,Q378095,LOC,Q378095,Klausen,"```json {""wikipedia_page"":""Klausen"", ""wikidata_id"":""Q378095""} ```",10.878780364990234
hidden_test_de_1_sent9,23,44,Johann von Wildenradt,NIL,PER,Q10277579,Ryoichi Kano,,26.978660583496094
hidden_test_de_1_sent10,368,376,Gaißmayr,NIL,PER,NIL,Gaißmayr,No,0
hidden_test_de_1_sent10,381,389,Matthäus,NIL,PER,NIL,Matthäus,```json { } ```,0
hidden_test_de_1_sent11,68,81,Michel Gruber,NIL,PER,NIL,Michel Gruber,No.,0
hidden_test_de_1_sent12,300,307,Golling,NIL,LOC,Q527800,Golling an der Salzach,"```json {""wikipedia_page"":""Golling an der Salzach"", ""wikidata_id"":""Q527800""} ```",15.994821548461914
hidden_test_de_1_sent12,322,335,Thomas Reustl,NIL,PER,NIL,Thomas Reustl,No.,0
hidden_test_de_1_sent12,539,547,Radstatt,Q260950,LOC,Q260950,Radstadt,"```json {""wikipedia_page"": ""Radstadt"", ""wikidata_id"":""Q260950""} ```",21.08115005493164
hidden_test_de_1_sent12,710,725,Dietrichstein's,NIL,PER,Q688530,Dietrichstein,"```json {""wikipedia_page"": ""Dietrichstein"", ""wikidata_id"": ""Q688530""} ```",15.001810073852539
hidden_test_de_1_sent13,4,12,Radstatt,Q260950,LOC,NIL,Radstatt,no,0
hidden_test_de_1_sent13,22,28,Reustl,NIL,PER,NIL,Reustl,no,0
hidden_test_de_1_sent13,184,194,Schladming,Q254221,LOC,Q254221,Schladming,"```json {""wikipedia_page"": ""Schladming"", ""wikidata_id"": ""Q254221""} ```",19.626583099365234
hidden_test_de_1_sent14,123,136,Dietrichstein,NIL,PER,Q688530,Dietrichstein,"```json {""wikipedia_page"":""Dietrichstein"", ""wikidata_id"":""Q688530""} ```",18.437673568725586
hidden_test_de_1_sent14,263,280,Nikolaus von Salm,Q26486738,PER,Q77787,Niklas Graf Salm der Ältere,,29.831356048583984
hidden_test_de_1_sent15,0,3,Mur,Q259893,LOC,Q259893,Bruck an der Mur,,21.30883026123047
hidden_test_de_1_sent15,80,95,Bruck an derMur,Q259893,LOC,Q259893,Bruck an der Mur,,35.697540283203125
hidden_test_de_1_sent15,110,127,"„Obersteierblatt""",NIL,PROD,Q218612,Zollern-Alb-Kurier,,35.262001037597656
hidden_test_de_1_sent15,207,218,Kielmansegg,NIL,PER,NIL,Kielmansegg,no,0
hidden_test_de_1_sent15,1599,1612,Liechtenstein,Q78567,PER,Q698530,Haus Liechtenstein,"```json {""wikipedia_page"":""Haus Liechtenstein"", ""wikidata_id"":""Q698530""} ```",17.777223587036133
hidden_test_de_1_sent15,1616,1625,Liberalen,NIL,ORG,Q6216,Liberalismus,"```json {""wikipedia_page"":""Liberalismus"", ""wikidata_id"":""Q6216""} ```",17.86077117919922
hidden_test_de_1_sent72,0,9,Amsterdam,NIL,LOC,NIL,Amsterdam,No.,0
hidden_test_de_1_sent73,0,6,London,NIL,LOC,Q84,London,"```json {""wikipedia_page"": ""London"", ""wikidata_id"": ""Q84""} ```",13.057632446289062
hidden_test_de_1_sent75,1,6,Paris,NIL,LOC,Q90,Paris,"```json {""wikipedia_page"":""Paris"", ""wikidata_id"":""Q90""} ```",15.2584810256958
hidden_test_de_1_sent87,15,19,Wien,NIL,LOC,Q1741,Wien,,26.689189910888672
hidden_test_de_1_sent91,15,25,Josefstadt,NIL,LOC,Q256778,Josefstadt,,21.830123901367188
hidden_test_de_1_sent92,16,27,Rudolfsheim,NIL,LOC,Q2174345,Rudolfsheim,,27.719615936279297
hidden_test_de_1_sent96,27,34,Amerika,NIL,LOC,Q828,Amerika,"```json {""wikipedia_page"":""Amerika"", ""wikidata_id"":""Q828""} ```",18.806991577148438
hidden_test_de_1_sent97,38,51,Bruno Zappert,NIL,PER,Q31794012,Bruno Zappert,,30.925952911376953
hidden_test_de_1_sent99,0,29,William BoltonMarie Geiringer,NIL,PER,NIL,William BoltonMarie Geiringer,no,0
hidden_test_de_1_sent100,0,20,Aron MandelblühSarah,NIL,PER,Q64030672,,,21.71769142150879
hidden_test_de_1_sent100,32,59,Wenzel PawlizekCarl Schauer,NIL,PER,Q3168715,Jean-Paul Wenzel,,22.12939453125
hidden_test_de_1_sent100,61,72,Mitzi Bardi,NIL,PER,Q18025001,Marie Bardi,,30.148433685302734
hidden_test_de_1_sent101,5,10,Frank,NIL,PER,Q62243,Adolph Frank,"```json {""wikipedia_page"":""Adolph Frank"", ""wikidata_id"":""Q62243""} ```",8.526296615600586
hidden_test_de_1_sent102,0,13,Jos. Paulmann,NIL,PER,Q1698128,Johannes Paulmann,,27.077247619628906
hidden_test_de_1_sent103,0,14,Franz Graselli,NIL,PER,Q2001370,Francesco Raselli,,29.22170066833496
hidden_test_de_1_sent104,0,8,Marianka,NIL,PER,NIL,Marianka,No.,0
hidden_test_de_1_sent104,22,35,Gisela Magnus,NIL,PER,Q24050604,Gisela Graselli-Magnus,"```json {""wikipedia_page"":""Gisela Graselli-Magnus"", ""wikidata_id"":""Q24050604""} ```",18.883583068847656
hidden_test_de_1_sent105,0,28,Johann Degelmeier Ed. Lunzer,NIL,PER,NIL,Johann Degelmeier Ed. Lunzer,no,0
hidden_test_de_1_sent106,0,4,Mali,NIL,PER,NIL,Mali,no,0
hidden_test_de_1_sent106,20,31,Kathi Krenn,NIL,PER,Q1735925,Katharina Kern,,24.430673599243164
hidden_test_de_1_sent107,0,4,Sali,NIL,PER,Q2757170,Sali,,23.429784774780273
hidden_test_de_1_sent107,6,16,Ella Carlé,NIL,PER,Q5364562,Ella Schuler,,22.770286560058594
hidden_test_de_1_sent108,0,5,Kathi,NIL,PER,Q1561114,Kathy,"```json {""wikipedia_page"":""Kathy"", ""wikidata_id"":""Q1561114""} ```",17.109041213989258
hidden_test_de_1_sent108,7,19,Elsa Wernier,NIL,PER,Q453545,Els Aarne,,26.001197814941406
hidden_test_de_1_sent109,0,18,Tini Käthi Wernier,NIL,PER,NIL,Tini Käthi Wernier,no,0
hidden_test_de_1_sent110,0,4,Susi,NIL,PER,NIL,Susi,no,0
hidden_test_de_1_sent110,6,18,Mitzi Ganser,NIL,PER,NIL,Mitzi Ganser,no.,0
hidden_test_de_1_sent111,0,18,Thildi Käthi Hanke,NIL,PER,NIL,Thildi Käthi Hanke,no.,0
hidden_test_de_1_sent112,0,5,Jenny,NIL,PER,Q16164488,,"```json { ""wikipedia_page"": """", ""wikidata_id"": ""Q16164488"" } ```",15.456277847290039
hidden_test_de_1_sent112,21,30,Mitzi Bär,NIL,PER,Q23953,Maria Bard,,27.082212448120117
hidden_test_de_1_sent113,0,4,Emmy,NIL,PER,NIL,Emmy,no,0
hidden_test_de_1_sent113,6,16,Lina Stöhr,NIL,PER,Q16596498,Martina Stöhr,,25.4241943359375
hidden_test_de_1_sent114,0,4,Mary,NIL,PER,NIL,Mary,```json {} ```,0
hidden_test_de_1_sent114,6,18,Mitzi Theser,NIL,PER,Q47460506,Mitzi Tesar,,23.8115291595459
hidden_test_de_1_sent115,0,8,Steffens,NIL,PER,Q28745166,Steffens,"```json {""wikipedia_page"":""Steffens"", ""wikidata_id"":""Q28745166""} ```",13.292136192321777
hidden_test_de_1_sent115,21,43,Carl OesterreicherJohn,NIL,PER,NIL,Carl OesterreicherJohn,No.,0
hidden_test_de_1_sent115,54,66,Gustav Marik,NIL,PER,Q78511,Gustav Meyrink,,24.31613540649414
hidden_test_de_1_sent116,0,5,Willy,NIL,PER,NIL,Willy,No,0
hidden_test_de_1_sent116,7,18,Josef Frank,NIL,PER,Q1212284,Josef Frank,,23.24346160888672
hidden_test_de_1_sent117,0,13,Hevesy Istwan,NIL,PER,NIL,Hevesy Istwan,no.,0
hidden_test_de_1_sent117,18,36,Julius KnaackKnoll,NIL,PER,NIL,Julius KnaackKnoll,No.,0
hidden_test_de_1_sent117,53,67,Arthur Lorette,NIL,PER,Q110539251,,,22.541851043701172
hidden_test_de_1_sent118,0,5,Maier,NIL,PER,NIL,Maier,```json {} ```,0
hidden_test_de_1_sent118,23,37,Arthur Müllner,NIL,PER,Q4775920,Anton Müller,,32.412742614746094
hidden_test_de_1_sent119,0,7,Tschibi,NIL,PER,NIL,Tschibi,No.,0
hidden_test_de_1_sent119,19,34,Adolf Karlinger,NIL,PER,Q362939,Adolf Kissling,,22.101329803466797
hidden_test_de_1_sent120,0,7,Tschibe,NIL,PER,Q2967756,Chybie,"```json {""wikipedia_page"":""Chybie"", ""wikidata_id"":""Q2967756""} ```",16.773849487304688
hidden_test_de_1_sent120,20,32,Carl Haßmann,NIL,PER,Q15452248,Karl Haußmann,,30.419870376586914
hidden_test_de_1_sent121,0,7,Fru=Fru,NIL,PER,NIL,Fru=Fru,no,0
hidden_test_de_1_sent121,22,34,Esther Stein,NIL,PER,NIL,Esther Stein,no,0
hidden_test_de_1_sent122,20,32,Heinrich Baß,NIL,PER,Q1596656,Heinrich Bass,,24.37710952758789
hidden_test_de_1_sent123,0,18,Arthur Schanenburg,NIL,PER,Q38193,Arthur Schopenhauer,,26.31085205078125
hidden_test_de_1_sent123,21,32,Albert Reiß,NIL,PER,Q4711094,Albert Reiss,,28.62725067138672
hidden_test_de_1_sent124,62,69,Amerika,NIL,LOC,Q828,Amerika,"```json {""wikipedia_page"":""Amerika"", ""wikidata_id"":""Q828""} ```",17.456985473632812
hidden_test_de_1_sent128,165,169,Daun,NIL,PER,Q93365,Leopold Joseph von Daun,,21.986413955688477
hidden_test_de_1_sent132,1,8,Venedig,NIL,LOC,NIL,Venedig,no,0
hidden_test_de_1_sent132,12,16,Wien,NIL,LOC,Q1741,Wien,,22.460939407348633
hidden_test_de_1_sent142,57,68,Anton Schey,NIL,PER,NIL,Anton Schey,no,0
hidden_test_de_1_sent144,109,117,Hainfeld,NIL,LOC,Q671275,Hainfeld,,25.61237335205078
hidden_test_de_1_sent147,8,22,Franz Lütgenau,NIL,PER,Q1448138,Franz Lütgenau,,29.214122772216797
hidden_test_de_1_sent152,4,14,Paul Kempe,NIL,PER,Q11814157,,,35.5950813293457
hidden_test_de_1_sent153,4,22,Wilhelm Liebknecht,NIL,PER,Q20127,Wilhelm Liebknecht,,31.197811126708984
hidden_test_de_1_sent154,80,94,Sigmund Weiler,NIL,PER,Q2284813,Sigismund Weier,,25.775020599365234
hidden_test_de_1_sent154,110,114,Wien,NIL,LOC,Q1741,Wien,,21.335025787353516
hidden_test_de_1_sent157,32,36,Wien,NIL,LOC,Q1741,Wien,"```json {""wikipedia_page"":""Wien"", ""wikidata_id"":""Q1741""} ```",10.530686378479004
hidden_test_de_1_sent163,65,81,Jacob Rothberger,NIL,PER,Q2549156,Warenhaus Rothberger,,21.661603927612305
hidden_test_de_1_sent163,229,245,Jakob Weinberger,NIL,PER,Q19668022,Jacob Weinberg,,24.885244369506836
hidden_test_de_1_sent163,268,272,Wien,NIL,LOC,Q1741,Wien,"```json {""wikipedia_page"": ""Wien"", ""wikidata_id"": ""Q1741""} ```",19.41323471069336
hidden_test_de_1_sent163,354,360,Ditmar,NIL,PER,NIL,Ditmar,no,0
hidden_test_de_1_sent172,71,75,Wien,NIL,LOC,Q1741,Wien,,24.957683563232422
hidden_test_de_1_sent184,424,429,Brünn,NIL,LOC,Q14960,Brünn,,28.868803024291992
hidden_test_de_1_sent184,490,501,Ignaz Brand,NIL,PER,NIL,Ignaz Brand,No.,0
hidden_test_de_1_sent184,502,506,Wien,NIL,LOC,Q1741,Wien,,29.433149337768555
hidden_test_de_1_sent186,34,38,Wien,NIL,LOC,Q1741,Wien,"```json {""wikipedia_page"":""Wien"", ""wikidata_id"":""Q1741""} ```",12.480757713317871
hidden_test_de_1_sent187,18,22,Wien,NIL,LOC,Q1741,Wien,,27.811416625976562
hidden_test_de_1_sent192,29,33,Wien,NIL,LOC,Q1741,Wien,,27.92399024963379
hidden_test_de_1_sent194,59,63,Wien,NIL,LOC,Q1741,Wien,"```json {""wikipedia_page"":""Wien"", ""wikidata_id"":""Q1741""} ```",20.463869094848633
hidden_test_de_1_sent194,84,88,Wien,NIL,LOC,Q1741,Wien,"```json {""wikipedia_page"":""Wien"", ""wikidata_id"":""Q1741""} ```",15.640928268432617
hidden_test_de_1_sent194,97,110,Franzensfeste,NIL,LOC,Q16609207,Bahnhof Franzensfeste,"```json {""wikipedia_page"":""Bahnhof Franzensfeste"", ""wikidata_id"":""Q16609207""} ```",16.109262466430664
hidden_test_de_1_sent194,142,146,Wien,NIL,LOC,Q1741,Wien,"```json {""wikipedia_page"":""Wien"", ""wikidata_id"":""Q1741""} ```",15.446897506713867
hidden_test_de_1_sent194,164,168,Wien,NIL,LOC,Q1741,Wien,"```json {""wikipedia_page"":""Wien"", ""wikidata_id"":""Q1741""} ```",14.791068077087402
hidden_test_de_1_sent194,193,197,Wien,NIL,LOC,Q1741,Wien,"```json {""wikipedia_page"":""Wien"", ""wikidata_id"":""Q1741""} ```",15.773548126220703
hidden_test_de_1_sent194,209,215,Leoben,NIL,LOC,Q485294,Leoben,"```json {""wikipedia_page"": ""Leoben"", ""wikidata_id"": ""Q485294""} ```",18.384183883666992
hidden_test_de_1_sent195,14,18,Wien,NIL,LOC,Q519025,Wien Südbahnhof,"```json {""wikipedia_page"": ""Wien Südbahnhof"", ""wikidata_id"": ""Q519025""} ```",13.541555404663086
hidden_test_de_1_sent195,73,82,Payerbach,NIL,LOC,Q801311,Bahnhof Payerbach-Reichenau,"```json {""wikipedia_page"":""Bahnhof Payerbach-Reichenau"", ""wikidata_id"":""Q801311""} ```",14.564705848693848
hidden_test_de_1_sent195,108,117,Laxenburg,NIL,LOC,Q699437,Laxenburg,"```json {""wikipedia_page"":""Laxenburg"", ""wikidata_id"":""Q699437""} ```",19.600719451904297
hidden_test_de_1_sent195,119,125,Aspang,NIL,LOC,Q683242,Aspang-Markt,"```json {""wikipedia_page"":""Aspang-Markt"", ""wikidata_id"":""Q683242""} ```",15.776467323303223
hidden_test_de_1_sent195,137,148,Potten¬dorf,NIL,LOC,Q661912,Pottendorf,"```json {""wikipedia_page"":""Pottendorf"", ""wikidata_id"":""Q661912""} ```",14.109420776367188
hidden_test_de_1_sent195,192,203,Leobersdorf,NIL,LOC,Q695339,Leobersdorf,"```json {""wikipedia_page"":""Leobersdorf"", ""wikidata_id"":""Q695339""} ```",16.714895248413086
hidden_test_de_1_sent195,205,220,Kaltenleutgeben,NIL,LOC,Q665008,Kaltenleutgeben,"```json {""wikipedia_page"":""Kaltenleutgeben"", ""wikidata_id"":""Q665008""} ```",18.22284698486328
hidden_test_de_1_sent195,222,232,Laxen¬burg,NIL,LOC,Q699437,Laxenburg,"```json {""wikipedia_page"": ""Laxenburg"", ""wikidata_id"": ""Q699437""} ```",18.533357620239258
hidden_test_de_1_sent195,234,244,Gutenstein,NIL,LOC,Q663658,Gutenstein,"```json {""wikipedia_page"":""Gutenstein"", ""wikidata_id"":""Q663658""} ```",13.746191024780273
hidden_test_de_1_sent195,246,254,Hainfeld,NIL,LOC,Q671275,Hainfeld,"```json {""wikipedia_page"":""Hainfeld"", ""wikidata_id"":""Q671275""} ```",14.617313385009766
hidden_test_de_1_sent195,286,293,Mödling,NIL,LOC,Q277965,Mödling,"```json {""wikipedia_page"":""Mödling"", ""wikidata_id"":""Q277965""} ```",20.503368377685547
hidden_test_de_1_sent195,325,335,Steinbrück,NIL,LOC,NIL,Steinbrück,no,0
hidden_test_de_1_sent195,337,352,Kaltenleutgeben,NIL,LOC,Q665008,Kaltenleutgeben,"```json {""wikipedia_page"":""Kaltenleutgeben"", ""wikidata_id"":""Q665008""} ```",18.273935317993164
hidden_test_de_1_sent195,354,362,Laxenbug,NIL,LOC,Q699437,Laxenburg,"```json {""wikipedia_page"":""Laxenburg"", ""wikidata_id"":""Q699437""} ```",14.589487075805664
hidden_test_de_1_sent195,375,385,Pottendorf,NIL,LOC,NIL,Pottendorf,no,0
hidden_test_de_1_sent195,391,399,Neustadt,NIL,LOC,Q131612,Wiener Neustadt,"```json {""wikipedia_page"":""Wiener Neustadt"", ""wikidata_id"":""Q131612""} ```",16.012727737426758
hidden_test_de_1_sent195,456,462,Böslau,NIL,LOC,Q798800,Bad Vöslau,"```json {""wikipedia_page"":""Bad Vöslau"", ""wikidata_id"":""Q798800""} ```",14.446083068847656
hidden_test_de_1_sent195,491,497,Böslau,NIL,LOC,NIL,Böslau,no.,0
hidden_test_de_1_sent195,499,514,Kaltenleutgeben,NIL,LOC,Q665008,Kaltenleutgeben,"```json {""wikipedia_page"":""Kaltenleutgeben"", ""wikidata_id"":""Q665008""} ```",17.90338134765625
hidden_test_de_1_sent195,516,525,Laxenburg,NIL,LOC,Q699437,Laxenburg,"```json {""wikipedia_page"": ""Laxenburg"", ""wikidata_id"": ""Q699437""} ```",20.01789093017578
hidden_test_de_1_sent195,569,584,Kaltenleutgeben,NIL,LOC,Q665008,Kaltenleutgeben,"```json {""wikipedia_page"":""Kaltenleutgeben"", ""wikidata_id"":""Q665008""} ```",18.4500789642334
hidden_test_de_1_sent195,586,595,Laxenburg,NIL,LOC,Q699437,Laxenburg,"```json {""wikipedia_page"": ""Laxenburg"", ""wikidata_id"": ""Q699437""} ```",16.915014266967773
hidden_test_de_1_sent195,629,635,Böslau,NIL,LOC,NIL,Böslau,No.,0
hidden_test_de_1_sent195,665,677,Mürzzuschlag,NIL,LOC,Q492868,Mürzzuschlag,"```json {""wikipedia_page"":""Mürzzuschlag"", ""wikidata_id"":""Q492868""} ```",16.239152908325195
hidden_test_de_1_sent195,679,694,Kaltenleutgeben,NIL,LOC,Q665008,Kaltenleutgeben,"```json {""wikipedia_page"": ""Kaltenleutgeben"", ""wikidata_id"": ""Q665008""} ```",17.155651092529297
hidden_test_de_1_sent195,696,705,Laxenburg,NIL,LOC,Q699437,Laxenburg,"```json {""wikipedia_page"":""Laxenburg"", ""wikidata_id"":""Q699437""} ```",18.31803321838379
hidden_test_de_1_sent195,707,717,Gutenstein,NIL,LOC,Q663658,Gutenstein,"```json {""wikipedia_page"":""Gutenstein"", ""wikidata_id"":""Q663658""} ```",13.062313079833984
hidden_test_de_1_sent195,719,728,Hain¬feld,NIL,LOC,Q671275,Hainfeld,"```json {""wikipedia_page"":""Hainfeld"", ""wikidata_id"":""Q671275""} ```",13.375518798828125
hidden_test_de_1_sent195,764,771,Mödling,NIL,LOC,Q277965,Mödling,"```json {""wikipedia_page"":""Mödling"", ""wikidata_id"":""Q277965""} ```",16.40038299560547
hidden_test_de_1_sent195,798,804,Böslau,NIL,LOC,NIL,Böslau,no,0
hidden_test_de_1_sent195,805,820,Kaltenleutgeben,NIL,LOC,Q665008,Kaltenleutgeben,"```json { ""wikipedia_page"": ""Kaltenleutgeben"", ""wikidata_id"": ""Q665008"" } ```",16.101119995117188
hidden_test_de_1_sent195,822,831,Laxenburg,NIL,LOC,Q699437,Laxenburg,"```json {""wikipedia_page"": ""Laxenburg"", ""wikidata_id"": ""Q699437""} ```",18.52509880065918
hidden_test_de_1_sent195,865,876,Leobersdorf,NIL,LOC,Q695339,Leobersdorf,"```json {""wikipedia_page"":""Leobersdorf"", ""wikidata_id"":""Q695339""} ```",14.357826232910156
hidden_test_de_1_sent195,878,894,Kaltenleut¬geben,NIL,LOC,Q665008,Kaltenleutgeben,"```json {""wikipedia_page"":""Kaltenleutgeben"", ""wikidata_id"":""Q665008""} ```",14.083025932312012
hidden_test_de_1_sent195,896,905,Laxenburg,NIL,LOC,Q699437,Laxenburg,"```json {""wikipedia_page"":""Laxenburg"", ""wikidata_id"":""Q699437""} ```",18.670026779174805
hidden_test_de_1_sent195,943,949,Böslau,NIL,LOC,NIL,Böslau,No,0
hidden_test_de_1_sent195,980,987,Mödling,NIL,LOC,Q277965,Mödling,"```json {""wikipedia_page"":""Mödling"", ""wikidata_id"":""Q277965""} ```",15.235759735107422
hidden_test_de_1_sent195,989,1004,Kaltenleutgeben,NIL,LOC,Q665008,Kaltenleutgeben,"```json {""wikipedia_page"":""Kaltenleutgeben"", ""wikidata_id"":""Q665008""} ```",14.353500366210938
hidden_test_de_1_sent195,1006,1015,Laxenburg,NIL,LOC,Q699437,Laxenburg,"```json {""wikipedia_page"":""Laxenburg"", ""wikidata_id"":""Q699437""} ```",17.878013610839844
hidden_test_de_1_sent195,1065,1071,Böslau,NIL,LOC,NIL,Böslau,No.,0
hidden_test_de_1_sent195,1073,1088,Kaltenleutgeben,NIL,LOC,Q665008,Kaltenleutgeben,"```json {""wikipedia_page"":""Kaltenleutgeben"", ""wikidata_id"":""Q665008""} ```",13.536161422729492
hidden_test_de_1_sent195,1090,1099,Laxenburg,NIL,LOC,Q699437,Laxenburg,"```json {""wikipedia_page"":""Laxenburg"", ""wikidata_id"":""Q699437""} ```",18.551246643066406
hidden_test_de_1_sent195,1127,1133,Böslau,NIL,LOC,Q798800,Bad Vöslau,"```json {""wikipedia_page"":""Bad Vöslau"", ""wikidata_id"":""Q798800""} ```",9.666847229003906
hidden_test_de_1_sent195,1175,1190,Kaltenleutgeben,NIL,LOC,Q665008,Kaltenleutgeben,"```json {""wikipedia_page"":""Kaltenleutgeben"", ""wikidata_id"":""Q665008""} ```",13.31446361541748
hidden_test_de_1_sent195,1192,1201,Laxenburg,NIL,LOC,Q699437,Laxenburg,"```json {""wikipedia_page"": ""Laxenburg"", ""wikidata_id"": ""Q699437""} ```",17.54595947265625
hidden_test_de_1_sent195,1229,1235,Böslau,NIL,LOC,NIL,Böslau,no,0
hidden_test_de_1_sent195,1237,1243,Rodaun,NIL,LOC,Q2160909,Rodaun,"```json {""wikipedia_page"": ""Rodaun"", ""wikidata_id"": ""Q2160909""} ```",17.2238712310791
hidden_test_de_1_sent197,0,11,Leobersdorf,NIL,LOC,Q695339,Leobersdorf,"```json {""wikipedia_page"":""Leobersdorf"", ""wikidata_id"":""Q695339""} ```",21.040422439575195
hidden_test_de_1_sent197,13,21,Hainfeld,NIL,LOC,Q671275,Hainfeld,"```json {""wikipedia_page"":""Hainfeld"", ""wikidata_id"":""Q671275""} ```",17.337507247924805
hidden_test_de_1_sent197,23,33,Gutenstein,NIL,LOC,Q663658,Gutenstein,"```json {""wikipedia_page"":""Gutenstein"", ""wikidata_id"":""Q663658""} ```",16.176166534423828
hidden_test_de_1_sent197,64,70,Böslau,NIL,LOC,NIL,Böslau,no,0
hidden_test_de_1_sent197,116,127,Leobersdorf,NIL,LOC,Q74426574,Bahnhof Leobersdorf,"```json {""wikipedia_page"":""Bahnhof Leobersdorf"", ""wikidata_id"":""Q74426574""} ```",15.402409553527832
